"Year", "Flood"
   1,  9.9974
   2, 10.5556
   3,  9.9014
   4, 11.4800
   5, 12.8460
   6, 11.1330
   7, 10.1126
   8, 10.3060
   9, 10.4980
  10, 10.3060
  11, 10.3060
  12, 10.8642
  13, 10.7860
  14, 10.7860
  15, 10.8450
  16, 10.8450
  17, 11.1330
  18, 10.3060
  19,  9.7670
  20,  9.6888
  21,  9.3432
  22, 11.0754
  23, 10.3060
  24,  9.6120
  25,  9.3432
  26,  9.2280
  27, 10.1894
  28, 10.4596
  29, 10.4596
  30,  9.7272
  31,  9.6696
  32,  9.6504
  33, 10.1318
  34, 10.5556
  35,  9.9014
  36,  9.9782
  37, 10.4596
  38, 11.8832
  39, 10.5364
  40, 10.4212
  41, 10.2278
  42, 10.2278
  43, 10.9026
  44,  9.3240
  45,  9.2472
  46,  9.2856
  47,  9.4392
  48,  9.3816
  49,  8.9962
  50,  8.9962
  51,  9.0730
  52,  9.2664
  53,  9.7670
  54, 10.3060
  55,  9.0922
  56,  8.9962
  57,  8.9962
  58,  9.9590
  59,  9.5160
  60,  9.5736
  61,  9.2280
  62,  9.5736
  63,  9.2856
  64,  9.0922
  65, 10.1702
  66,  9.0730
  67,  8.9962
  68,  8.8810
  69,  9.2280
  70,  8.9578
  71,  9.2280
  72,  9.5160
  73, 10.0358
  74, 10.4212
  75, 10.4212
  76,  9.9206
  77, 10.8450
  78, 10.5748
  79, 10.0358
  80,  9.7670
  81,  9.6120
  82, 10.0358
  83,  8.9578
  84,  9.5544
  85,  9.5736
  86,  9.6120
  87,  9.9590
  88,  9.2280
  89,  9.6120
  90,  9.3432
  91, 10.5748
  92, 11.0754
  93, 10.2278
  94, 10.6900
  95, 13.9240
  96, 10.3060
  97, 10.6516
  98, 10.3060
  99, 11.9230
 100, 12.4620
 101, 11.0370
 102, 10.9986
 103, 11.0370
 104, 10.1510
 105, 11.1906
 106, 10.7284
 107, 10.9218
 108, 10.6900
 109, 10.5748
 110, 10.9986
 111, 10.9410
 112, 10.4596
 113, 10.9602
 114, 10.1510
 115, 10.0742
 116, 10.1126
 117,  9.7670
 118, 10.4212
 119, 10.1894
 120, 10.4212
 121,  9.8054
 122, 10.0550
 123, 10.4212
 124,  9.6888
 125, 10.3636
 126,  9.6120
 127, 10.0358
 128,  9.8438
 129,  9.4200
 130, 10.3060
 131, 10.1894
 132, 10.4212
 133, 10.4596
 134, 10.2278
